"","city","latitude","longitude","area","feather","UV_B","UV_B_annualmean","UV_B_may_au"
"1","Gothenburg",57.073333,11.94,"Urban","si",1386.88537597656,1386.88537597656,2930.94921875
"2","Lisbon",38.74,-9.18,"Urban","si",2952.64770507812,2952.64770507812,5002.68640136719
"3","Madrid",40.44,-3.73,"Urban","si",2825.82958984375,2825.82958984375,4917.83740234375
"4","Malmo",55.6,12.99,"Urban","si",1452.61242675781,1452.61242675781,2982.21960449219
"5","Milan",45.53,9.21,"Urban","si",2216.619140625,2216.619140625,4145.63208007812
"6","Gothenburg",57.5,12.01,"Rural","si",1328.95617675781,1328.95617675781,2801.44616699219
"7","Lisbon",38.86,-8.83,"Rural","si",2869.92236328125,2869.92236328125,4917.40234375
"8","Madrid",40.57,-4.16,"Rural","si",2831.26000976562,2831.26000976562,5007.92724609375
"9","Malmo",55.65,13.57,"Rural","si",1406.84948730469,1406.84948730469,2883.65295410156
"10","Milan",45.82,9.29,"Rural","si",2190.5078125,2190.5078125,4101.81311035156
